Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
02/12/2020 22:41:04,32.0,Female,Munich,It Consulting ,2,2,Junior,Test Management ,,54000.0,1500,47000.0,700,27,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,150
03/12/2020 11:04:39,28.0,Female,Berlin,Data Scientist,4,2,Middle,Python,Python,73700.0,80400,67000.0,67000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,200
04/12/2020 09:21:01,33.0,Female,Berlin,Frontend Developer,13,4,Middle,"Angular, TypeScript",Javascript / Typescript,47745.0,3800,47745.0,3800,30,"full-time, but 32 hours per week (it was my request, I'm a student)",Unlimited contract,English,1000+,Product,No,0.0,0
04/12/2020 10:37:11,39.0,Female,Berlin,Data Scientist,2.5,2,Junior,python,"C/C++, R, SQL",60000.0,60000,60000.0,60000,30,Full-time employee,Unlimited contract,English,up to 10,corporate incubator,Yes,,no
04/12/2020 11:51:26,30.0,Female,Berlin,Software Engineer,7,3,Senior,Java,"Python, Javascript / Typescript",60000.0,,55000.0,,27,Full-time employee,Unlimited contract,English,51-100,Product,No,0.0,0
04/12/2020 18:56:48,28.0,Female,Berlin,Designer (UI/UX),5,1,Senior,,,60000.0,0,,,26,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
05/12/2020 12:43:21,25.0,Female,Amsterdam,Data Scientist,1.5,0,Middle,Python,"AWS, Docker",49850.0,500,36000.0,0,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,150
05/12/2020 17:29:17,28.0,Female,Berlin,Backend Developer,3,2,Middle,Python,"AWS, Docker",65000.0,0,65000.0,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,0
06/12/2020 21:17:41,32.0,Female,Berlin,Computational linguist,5,5,Middle,Java,"Python, Docker",50400.0,0,50400.0,0,29,Full-time employee,Unlimited contract,English,11-50,Product,No,40.0,0
07/12/2020 08:28:00,27.0,Female,Berlin,Data Scientist,5,2,Senior,Python ,"SQL, AWS, Google Cloud, Docker",75000.0,0,60000.0,60000,24,Full-time employee,,English,101-1000,Product,No,,
08/12/2020 21:41:06,31.0,Female,Berlin,Product Manager,4,,Middle,,SQL,60000.0,0,70000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,Yes,,
08/12/2020 21:57:59,25.0,Female,Cambridge,Frontend Developer,4,0,Middle,JavaScript/Typescript,Javascript / Typescript,45000.0,45000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,37.5,I was able to move all equipment I need to work to home
09/12/2020 10:09:49,37.0,Female,Hamburg,QA Manager,7,7,Middle,java,,46000.0,2000,45000.0,1800,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
09/12/2020 13:37:29,26.0,Female,Berlin,Mobile Developer,8,3,Middle,c++,"C/C++, SAP / ABAP",40000.0,2000,15000.0,,36,Self-employed (freelancer),Temporary contract,German,101-1000,Product,No,,
11/12/2020 22:00:36,34.0,Female,Berlin,Designer (UI/UX),10,6,Senior,"PS, Sketch, React, CSS3",Javascript / Typescript,45000.0,,45000.0,,30,Full-time employee,Unlimited contract,German,up to 10,Product,No,35.0,0
13/12/2020 15:03:32,27.0,Female,Lisbon,Backend Developer,3,0,Middle,Java,"Java / Scala, SQL",17500.0,1250,16000.0,1100,22,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
13/12/2020 15:20:17,32.0,Female,Berlin,Software Engineer,2,2,Middle,Javascript,"Python, Javascript / Typescript, Go",63000.0,3000,50000.0,0,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,100
13/12/2020 18:25:45,25.0,Female,Berlin,Software Engineer,4,1,Middle,"Scala, Apache Spark","Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",65000.0,Not sure,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
13/12/2020 21:23:15,37.0,Female,Berlin,Data Scientist,7,2,Head,Python,"SQL, AWS, Docker, Matlab",75000.0,16000,,,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,0.0,No
14/12/2020 14:33:10,30.0,Female,Hamburg,Software Engineer,5,2,Senior,Java,,70000.0,20000,,,,Full-time employee,Unlimited contract,English,1000+,Product,No,,
14/12/2020 14:33:19,30.0,Female,Hamburg,Software Engineer,5,2,Senior,Java,,70000.0,20000,,,,Full-time employee,Unlimited contract,English,1000+,Product,No,,
18/12/2020 07:55:08,35.0,Female,Berlin,Product Manager,5,2,Senior,,SQL,60000.0,,50000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,8.0,
21/12/2020 13:45:43,28.0,Female,Berlin,Frontend Developer,5,2,Senior,javascript,"Google Cloud, Docker",64000.0,2000,60000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
21/12/2020 14:52:24,29.0,Female,Berlin,Project Manager,6,"0,5",Middle,Web,,51000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
22/12/2020 18:36:24,35.0,Female,Munich,Application Consultant,"1,5","1,5",Junior,SAP,SAP / ABAP,46000.0,2000,,,28,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,0.0,"0,00"
25/12/2020 21:58:38,33.0,Female,Munich,Software Engineer,10,3,Senior,Java,SQL,47500.0,0,47500.0,0,25,Full-time employee,Unlimited contract,English,11-50,Outsourse,No,,0
28/12/2020 22:24:47,24.0,Female,Munich,Software Engineer,less than year,less than year,student,"Python, database technologies","Python, Java / Scala, SQL, AWS",16320.0,16320,,,10,Part-time employee,Unlimited contract,English,11-50,Startup,No,,
30/12/2020 02:23:59,30.0,Female,Berlin,Frontend Developer,3,3,Lead,JavaScript ,"AWS, Docker",57600.0,0,51200.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,No
08/01/2021 17:23:19,33.0,Female,Munich,Testmanager,10,2,Junior,Java,SQL,60000.0,60000,55000.0,60000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,0.0,No
14/01/2021 01:14:58,31.0,Female,Berlin,Data Scientist,4,3,Middle,spark,"Python, SQL, AWS",50500.0,,49000.0,,30,,Unlimited contract,English,1000+,Product,No,,500
16/01/2021 19:35:40,32.0,Female,Munich,QA Engineer,8,5,Senior,Java,Java / Scala,55000.0,,,,,,,German,11-50,Product,No,,no
